Filename,Length,DP res,OR res,Gen res,Optimum,DP acc,OR acc,Gen acc,DP time,OR time,Gen time
knapPI_1_5000_1000_1,5000,276457,276457,25012,276457,100.0,100.0,9.05,817785,7652,141855
knapPI_2_100_1000_1,100,1514,1514,1201,1514,100.0,100.0,79.33,10177,55,335486
knapPI_2_2000_1000_1,2000,18051,18051,10020,18051,100.0,100.0,55.51,693073,1225,995926
knapPI_3_200_1000_1,200,2697,2697,1287,2697,100.0,100.0,47.72,20547,1513,575963
knapPI_1_500_1000_1,500,28857,28857,5780,28857,100.0,100.0,20.03,195136,226,301056
knapPI_1_200_1000_1,200,11238,11238,2753,11238,100.0,100.0,24.5,20636,92,586879
knapPI_1_10000_1000_1,10000,563647,563647,53699,563647,100.0,100.0,9.53,597191,19092,966488
knapPI_1_2000_1000_1,2000,110625,110625,11752,110625,100.0,100.0,10.62,673645,1284,73348
knapPI_3_1000_1000_1,1000,14390,14390,6171,14390,100.0,100.0,42.88,863627,35260,520448
knapPI_2_5000_1000_1,5000,44356,44356,25249,44356,100.0,100.0,56.92,711317,4673,510965
knapPI_3_500_1000_1,500,7117,7117,3197,7117,100.0,100.0,44.92,194455,1009,311606
knapPI_2_10000_1000_1,10000,90204,90204,50280,90204,100.0,100.0,55.74,61631,15929,79451
knapPI_3_2000_1000_1,2000,28919,28905,12055,28919,100.0,99.95,41.69,605403,846632,331799
knapPI_3_100_1000_1,100,2397,2397,1446,2397,100.0,100.0,60.33,9874,87,332712
knapPI_1_1000_1000_1,1000,54503,54503,6581,54503,100.0,100.0,12.07,866334,511,492271
knapPI_3_10000_1000_1,10000,146919,146908,60318,146919,100.0,99.99,41.06,33269,382504,356869
knapPI_2_200_1000_1,200,1634,1634,1153,1634,100.0,100.0,70.56,20249,147,566787
knapPI_3_5000_1000_1,5000,72505,72457,30178,72505,100.0,99.93,41.62,337267,283233,726646
knapPI_2_1000_1000_1,1000,9052,9052,5267,9052,100.0,100.0,58.19,845557,504,531759
knapPI_2_500_1000_1,500,4566,4566,2818,4566,100.0,100.0,61.72,190932,165,270771
knapPI_1_100_1000_1,100,9147,9147,2456,9147,100.0,100.0,26.85,10092,54,587621
