Filename,Length,DP res,OR res,Gen res,Optimum,DP acc,OR acc,Gen acc,DP time,OR time,Gen time
knapPI_1_5000_1000_1,5000,182269,276457,30983,276457,65.93,100.0,11.21,5802,7349,96126
knapPI_2_100_1000_1,100,1514,1514,1152,1514,100.0,100.0,76.09,9959,64,494641
knapPI_2_2000_1000_1,2000,18051,18051,9939,18051,100.0,100.0,55.06,594166,1227,367744
knapPI_3_200_1000_1,200,2697,2697,1290,2697,100.0,100.0,47.83,20365,1534,873171
knapPI_1_500_1000_1,500,28857,28857,4155,28857,100.0,100.0,14.4,191115,213,936328
knapPI_1_200_1000_1,200,11238,11238,2301,11238,100.0,100.0,20.48,20616,81,868847
knapPI_1_10000_1000_1,10000,174882,563647,46583,563647,31.03,100.0,8.26,6432,19158,142791
knapPI_1_2000_1000_1,2000,110625,110625,13825,110625,100.0,100.0,12.5,651234,1273,292203
knapPI_3_1000_1000_1,1000,14390,14390,6020,14390,100.0,100.0,41.83,860744,34813,743734
knapPI_2_5000_1000_1,5000,38400,44356,25466,44356,86.57,100.0,57.41,5733,4823,73617
knapPI_3_500_1000_1,500,7117,7117,3166,7117,100.0,100.0,44.49,191223,956,950706
knapPI_2_10000_1000_1,10000,63397,90204,50026,90204,70.28,100.0,55.46,1685,14760,144022
knapPI_3_2000_1000_1,2000,28919,28905,12296,28919,100.0,99.95,42.52,592755,550796,511674
knapPI_3_100_1000_1,100,2397,2397,1331,2397,100.0,100.0,55.53,10007,115,504283
knapPI_1_1000_1000_1,1000,54503,54503,7437,54503,100.0,100.0,13.65,864309,471,783477
knapPI_3_10000_1000_1,10000,81119,146912,59605,146919,55.21,100.0,40.57,6086,361920,145116
knapPI_2_200_1000_1,200,1634,1634,1071,1634,100.0,100.0,65.54,20490,195,877647
knapPI_3_5000_1000_1,5000,56705,72470,30388,72505,78.21,99.95,41.91,5637,389815,75440
knapPI_2_1000_1000_1,1000,9052,9052,5292,9052,100.0,100.0,58.46,862017,550,825958
knapPI_2_500_1000_1,500,4566,4566,2800,4566,100.0,100.0,61.32,193895,222,961343
knapPI_1_100_1000_1,100,9147,9147,2753,9147,100.0,100.0,30.1,10174,55,504327
