Filename,Length,DP res,OR res,Gen res,Optimum,DP acc,OR acc,Gen acc,DP time,OR time,Gen time
knapPI_1_5000_1000_1,5000,276457,276457,26934,276457,100.0,100.0,9.74,23,0,60
knapPI_2_100_1000_1,100,1514,1514,1040,1514,100.0,100.0,68.69,0,0,60
knapPI_2_2000_1000_1,2000,18051,18051,10573,18051,100.0,100.0,58.57,3,0,60
knapPI_3_200_1000_1,200,2697,2697,1283,2697,100.0,100.0,47.57,0,0,60
knapPI_1_500_1000_1,500,28857,28857,4875,28857,100.0,100.0,16.89,0,0,60
knapPI_1_200_1000_1,200,11238,11238,2685,11238,100.0,100.0,23.89,0,0,60
knapPI_1_10000_1000_1,10000,443022,563647,55348,563647,78.6,100.0,9.82,60,0,60
knapPI_1_2000_1000_1,2000,110625,110625,12273,110625,100.0,100.0,11.09,3,0,60
knapPI_3_1000_1000_1,1000,14390,14390,6053,14390,100.0,100.0,42.06,0,0,60
knapPI_2_5000_1000_1,5000,44356,44356,25231,44356,100.0,100.0,56.88,23,0,60
knapPI_3_500_1000_1,500,7117,7117,3213,7117,100.0,100.0,45.15,0,0,60
knapPI_2_10000_1000_1,10000,81619,90204,50662,90204,90.48,100.0,56.16,60,0,60
knapPI_3_2000_1000_1,2000,28919,28907,12695,28919,100.0,99.96,43.9,3,63,60
knapPI_3_100_1000_1,100,2397,2397,1290,2397,100.0,100.0,53.82,0,0,60
knapPI_1_1000_1000_1,1000,54503,54503,7005,54503,100.0,100.0,12.85,0,0,60
knapPI_3_10000_1000_1,10000,125919,146918,59411,146919,85.71,100.0,40.44,60,62,60
knapPI_2_200_1000_1,200,1634,1634,1071,1634,100.0,100.0,65.54,0,0,60
knapPI_3_5000_1000_1,5000,72505,72474,30472,72505,100.0,99.96,42.03,23,62,60
knapPI_2_1000_1000_1,1000,9052,9052,5430,9052,100.0,100.0,59.99,0,0,60
knapPI_2_500_1000_1,500,4566,4566,2881,4566,100.0,100.0,63.1,0,0,60
knapPI_1_100_1000_1,100,9147,9147,2778,9147,100.0,100.0,30.37,0,0,60
