Filename,Length,DP res,OR res,Gen res,Optimum,DP acc,OR acc,Gen acc,DP time,OR time,Gen time
knapPI_1_5000_1000_1,5000,276457,276457,27835,276457,100.0,100.0,10.07,23,0,40
knapPI_2_100_1000_1,100,1514,1514,1070,1514,100.0,100.0,70.67,0,0,40
knapPI_2_2000_1000_1,2000,18051,18051,9908,18051,100.0,100.0,54.89,3,0,40
knapPI_3_200_1000_1,200,2697,2697,1185,2697,100.0,100.0,43.94,0,0,40
knapPI_1_500_1000_1,500,28857,28857,4462,28857,100.0,100.0,15.46,0,0,40
knapPI_1_200_1000_1,200,11238,11238,1509,11238,100.0,100.0,13.43,0,0,40
knapPI_1_10000_1000_1,10000,358474,563647,57669,563647,63.6,100.0,10.23,40,0,40
knapPI_1_2000_1000_1,2000,110625,110625,10186,110625,100.0,100.0,9.21,3,0,40
knapPI_3_1000_1000_1,1000,14390,14390,5626,14390,100.0,100.0,39.1,0,0,40
knapPI_2_5000_1000_1,5000,44356,44356,25323,44356,100.0,100.0,57.09,23,0,40
knapPI_3_500_1000_1,500,7117,7117,2921,7117,100.0,100.0,41.04,0,0,40
knapPI_2_10000_1000_1,10000,75813,90204,51094,90204,84.05,100.0,56.64,40,0,40
knapPI_3_2000_1000_1,2000,28919,28906,11406,28919,100.0,99.96,39.44,3,42,40
knapPI_3_100_1000_1,100,2397,2397,1097,2397,100.0,100.0,45.77,0,0,40
knapPI_1_1000_1000_1,1000,54503,54503,5819,54503,100.0,100.0,10.68,0,0,40
knapPI_3_10000_1000_1,10000,112719,146918,60343,146919,76.72,100.0,41.07,40,41,40
knapPI_2_200_1000_1,200,1634,1634,1006,1634,100.0,100.0,61.57,0,0,40
knapPI_3_5000_1000_1,5000,72505,72472,30511,72505,100.0,99.95,42.08,23,41,40
knapPI_2_1000_1000_1,1000,9052,9052,5201,9052,100.0,100.0,57.46,0,0,40
knapPI_2_500_1000_1,500,4566,4566,2420,4566,100.0,100.0,53.0,0,0,40
knapPI_1_100_1000_1,100,9147,9147,1900,9147,100.0,100.0,20.77,0,0,40
